id,land_area_sqft,zone_class,land_area_sqft_norm
91073242,3447,R-5,3000
91161073,3822,R-5,3500
91161131,5428,R-5,5000
91070048,3360,R-5,3000
91073178,3360,R-5,3000
91073015,3570,R-5,3500
91144034,3848,R-5,3500
91070134,3360,R-5,3000
91144080,3796,R-5,3500
91161127,3959,R-5,3500
91073152,3835,R-5,3500
91144039,3900,R-5,3500
91161135,3796,R-5,3500
91073087,3443,R-5,3000
91144006,3900,R-5,3500
91070033,3694,R-5,3500
91161039,3796,R-5,3500
91144038,3852,R-5,3500
91073274,3169,R-5,3000
91070020,4516,R-5,4500
91073253,3205,R-5,3000
91073255,3033,R-5,3000
91070105,3360,R-5,3000
91070067,3360,R-5,3000
91073143,3492,R-5,3000
91070069,3240,R-5,3000
91073126,3360,R-5,3000
91161069,3796,R-5,3500
91070172,3360,R-5,3000
91073184,3440,R-5,3000
91161001,3822,R-5,3500
91161050,3952,R-5,3500
91144007,5130,R-5,5000
91073023,3774,R-5,3500
91073049,3360,R-5,3000
91070152,3360,R-5,3000
91161030,5135,R-5,5000
91161003,3796,R-5,3500
91161056,4004,R-5,4000
91144035,3848,R-5,3500
91070085,3496,R-5,3000
91073159,5262,R-5,5000
91070002,3240,R-5,3000
91070021,4421,R-5,4000
91145043,4101,R-5,4000
91161117,5125,R-5,5000
91070083,3281,R-5,3000
91073177,3360,R-5,3000
91144052,3819,R-5,3500
91070078,3835,R-5,3500
91070055,3393,R-5,3000
91073085,3443,R-5,3000
91073004,3570,R-5,3500
91161118,5450,R-5,5000
91073091,3443,R-5,3000
91144073,3848,R-5,3500
91070122,3570,R-5,3500
91073107,3240,R-5,3000
91073098,4051,R-5,4000
91161033,3848,R-5,3500
91073014,3528,R-5,3500
91073251,3240,R-5,3000
91070046,3426,R-5,3000
91073089,3570,R-5,3500
91073174,4360,R-5,4000
91161002,3796,R-5,3500
91073173,3336,R-5,3000
91070084,3419,R-5,3000
91145028,3796,R-5,3500
91073239,3143,R-5,3000
91070150,3360,R-5,3000
91070080,3094,R-5,3000
91145004,3796,R-5,3500
91073112,4472,R-5,4000
91161084,5063,R-5,5000
91161087,3496,R-5,3000
91070082,3567,R-5,3500
91070110,3570,R-5,3500
91161057,4004,R-5,4000
91070017,4071,R-5,4000
91070035,3520,R-5,3500
91073183,3360,R-5,3000
91145029,3796,R-5,3500
91145034,6355,R-5,6000
91070075,3400,R-5,3000
91070062,3154,R-5,3000
91073020,3443,R-5,3000
91073062,3360,R-5,3000
91070101,3240,R-5,3000
91073144,3496,R-5,3000
91073204,3402,R-5,3000
91161064,4004,R-5,4000
91073006,3570,R-5,3500
91161088,3796,R-5,3500
91161013,3822,R-5,3500
91073039,3360,R-5,3000
91070047,3360,R-5,3000
91070147,3240,R-5,3000
91073216,3360,R-5,3000
91145008,3796,R-5,3500
91161034,3848,R-5,3500
91070170,3240,R-5,3000
91073048,3967,R-5,3500
91070098,3240,R-5,3000
91144069,5517,R-5,5500
91073069,3789,R-5,3500
91070016,4449,R-5,4000
91073156,4272,R-5,4000
91144022,4004,R-5,4000
91070027,3527,R-5,3500
91073197,3240,R-5,3000
91070096,3546,R-5,3500
91161079,3822,R-5,3500
91161113,3796,R-5,3500
91070060,3590,R-5,3500
91073117,3394,R-5,3000
91161123,3796,R-5,3500
91073194,3240,R-5,3000
91144075,3848,R-5,3500
91161043,5033,R-5,5000
91161006,5063,R-5,5000
91070024,3360,R-5,3000
91073155,4181,R-5,4000
91161074,3796,R-5,3500
91145035,5029,R-5,5000
91144023,4004,R-5,4000
91073220,3360,R-5,3000
91070145,3244,R-5,3000
91073058,3360,R-5,3000
91144002,4272,R-5,4000
91144096,3796,R-5,3500
91073090,3443,R-5,3000
